bid_id	contract_year	version	bnchmk_e0012	bnchmk_e0013	bnchmk_e0014	bnchmk_e0015	bnchmk_e0016	bnchmk_e0017	bnchmk_e0018	bnchmk_e0019	bnchmk_e0023	bnchmk_e0024	bnchmk_e0025	bnchmk_e0036	bnchmk_e0038	bnchmk_f0012	bnchmk_f0015	bnchmk_f0036	bnchmk_f0038	bnchmk_g0012	bnchmk_g0015	bnchmk_g0031	bnchmk_g0036	bnchmk_h0036	bnchmk_h0038	bnchmk_i0036	bnchmk_i0038	bnchmk_j0036	bnchmk_k0036	bnchmk_l0016	bnchmk_l0017	bnchmk_l0018	bnchmk_l0024	bnchmk_l0025	bnchmk_l0026	bnchmk_l0036	bnchmk_m0016	bnchmk_m0017	bnchmk_m0018	bnchmk_m0036	bnchmk_n0036	bnchmk_o0036	bnchmk_p0036	bnchmk_q0036	bnchmk_r0036	bnchmk_s0036	bnchmk_t0036	bnchmk_t0037	bnchmk_u0014	bnchmk_u0015	bnchmk_u0016	bnchmk_u0017	bnchmk_u0018	bnchmk_u0036
H5826_010_0	2018	5	27254.80304	829.2964796	0.006803972	0.937951449	0.931569653	772.5474336	656.91	705.16	115.64	57.82	0	27254.80304	117.1969553	23608.67555	0.909277995	0.937951449	0.553188597	3646.127498	1.123612059		0	829.2964796	829.2964796	777.8398343	458.7573563	1	705.1646627	0.665	0.335	1	3	Not applicable	0.5	0.4434		N/A		0.5566	0.06908179	0.127760216	0.212279473	n/a	n/a	n/a	19939.77545	0.734765454	27137.60609	66.18181004	51.01514524	117.1969553	27372	Not in Metro Area
H5826_014_0	2018	4	48727.25845	834.9892499	0.001702205	1.279660653	1.277482408	1066.684078	918.12	718.69	148.56	74.28	0	48727.25845	792.4347032	897.0958904	1.279660653	1.279660653	1.186119512	47830.16256	1.279660653		0	834.9892499	834.9892499	1068.502889	990.3970413	1	718.6948284	0.665	0.335	1	3	Not applicable	0.5	0.4434		N/A		0.5566	0.070445525	0.128480296	0.212279473	n/a	n/a	n/a	19768.86941	0.412411434	47934.82374	290.2603592	98.4811933	792.4347032	49116	n/a
H5852_001_0	2018	4	9508.040673	944.68	0.007674284	1.796300871	1.782515548	1683.906788	1435.85	805.52	248.06	161.24	0	9508.040673	96.64075221	3088.97347	1.402161586	1.796300871	1.796300871	6419.067203	1.985967961		0	944.68	944.68	1696.929507	1696.929507	1	805.5189205	0.665	0.335	1	4	Not applicable	0.65	0.4434		N/A		0.5566	0.058422283	0.156568516	0.212279473	n/a	n/a	n/a	9411.399921	1	9411.399921	45.814523	8.144804089	96.64075221	9562	"Los Angeles-Long Beach-Glendale, CA"
H5854_007_0	2018	6	15336.47466	868.32	0.004325605	0.872005601	0.868233649	753.9046419	653.76	752.98	100.14	65.09	0	15336.47466	0	13585.34642	0.838349552	0.872005601	0.872005601	1751.128239	1.133111021		0	868.32		757.1799032		1	752.9770367	0.665	0.335	1	4	Not applicable	0.65	0.4434		N/A		0.5566	0.077806477	0.147251309	0.212279473	n/a	n/a	n/a	15336.47466	1	15336.47466	15.66338853	15.8619561	0	15368	"Hartford-West Hartford-East Hartford, CT"
H5854_008_0	2018	8	265280.234	889.8244404	0.00138007	1.258679403	1.256942338	1118.458012	1035.71	823.99	82.75	53.79	0	265280.234	0	20547.46748	1.258679403	1.258679403	1.258679403	244732.7666	1.258679403		0	889.8244404		1120.003695		1	823.9916574	0.665	0.335	1	4	Not applicable	0.65	0.4434		N/A		0.5566	0.074360467	0.139845351	0.212279473	n/a	n/a	n/a	107534.3048	0.405361165	265280.234	852.8200759	226.945883	0	266360	n/a
H5854_009_0	2018	6	29706.92412	902.3437528	0.004364947	0.864407735	0.860634641	776.5882921	690.27	802.05	86.32	56.11	0	29706.92412	0	25756.02683	0.816317579	0.864407735	0.864407735	3950.897283	1.177909015		0	902.3437528		779.9929198		1	802.0476597	0.665	0.335	1	4	Not applicable	0.65	0.4434		N/A		0.5566	0.0723098	0.13319772	0.212279473	n/a	n/a	n/a	14345.53222	0.482901971	29706.92412	68.8220817	52.25380277	0	29828	n/a
H5854_010_0	2018	6	88424.33971	893.5551255	0.003808523	0.810932685	0.807844229	721.8533513	562.38	696.15	159.47	103.66	0	88424.33971	0	78937.44496	0.76485091	0.810932685	0.810932685	9486.894753	1.194364532		0	893.5551255		724.6130571		1	696.1490594	0.665	0.335	1	4	Not applicable	0.65	0.4434		N/A		0.5566	0.073893666	0.138206961	0.212279473	n/a	n/a	n/a	35882.06618	0.405793996	88424.33971	127.6484028	126.0118848	0	88678	n/a
H5859_001_0	2018	5	126520	812.085032	0.000441395	1.486615669	1.485959485	1206.725456	1109.64	746.75	97.09	63.11	0	126520	2166.251212	1803.934773	1.486615669	1.486615669	1.486615669	124716.0652	1.486615669		0	812.085032	812.085032	1207.258333	1207.258333	1	746.749835	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.071351066	0.117330608	0.212279473	n/a	n/a	n/a	110233.6878	0.88645247	124353.7488	800	600	2166.251212	127920	"Portland-Vancouver-Hillsboro, OR-WA"
H5859_003_0	2018	6	7314	834.1995307	0.002953998	1.036100733	1.033040093	861.7615606	785.62	760.49	76.14	49.49	0	7314	125.4716867	4679.007988	0.961306375	1.036100733	1.036100733	2634.992012	1.168914569		0	834.1995307	834.1995307	864.3147449	864.3147449	1	760.4932331	0.665	0.335	1	3.5	Not applicable	0.65	0.4434		N/A		0.5566	0.071971887	0.118247299	0.212279473	n/a	n/a	n/a	7188.528313	1	7188.528313	72	72	125.4716867	7458	"Portland-Vancouver-Hillsboro, OR-WA"
H5883_001_1	2018	3	4286.737762	896.2571547	0.001751417	0.887343767	0.885789658	793.8953189	687.02	775.6	106.88	74.82	0	4286.737762	46.30928386	4260.454115	0.889194955	0.887343767	0.619107751	26.28364759	0.58727495		0	896.2571547	896.2571547	795.2881998	554.8797517	1	775.6017396	0.665	0.335	1	4.5	Not applicable	0.7	0.4434		N/A		0.5566	0.081335464	0.15769446	0.212279473	n/a	n/a	n/a	2370.534693	0.559031877	4240.428479	15.0192272	12.51602266	46.30928386	4314.273012	"Grand Rapids-Wyoming, MI"
H5883_001_2	2018	3	1775.182091	860.2771725	0	0.905117761	0.905117761	778.6521482	718.71	794.05	59.94	41.96	0	1775.182091	0	1775.182091	0.905117761	0.905117761	1	0	0.905117761		0	860.2771725		778.6521482		1	794.051372	0.665	0.335	1	4.5	Not applicable	0.7	0.4434		N/A		0.5566	0.080304439	0.154396592	0.212279473	n/a	n/a	n/a	829.4467124	0.467245989	1775.182091	10.6795714	2.37323809	0	1788.234901	n/a
H5883_001_3	2018	3	886.4840645	849.6764019	0	0.745028315	0.745028315	633.0329782	610.16	818.98	22.87	16.01	0	886.4840645	0	882.3416156	0.721034218	0.745028315	1	4.142448899	5.855770947		0	849.6764019		633.0329782		1	818.9755845	0.665	0.335	1	4.5	Not applicable	0.7	0.4434		N/A		0.5566	0.078818488	0.169754072	0.212279473	n/a	n/a	n/a	886.4840645	1	886.4840645	0	1.3808163	0	887.8648808	Not in Metro Area
H5883_001_4	2018	3	2683.273032	873.3324938	0.00649142	0.715970274	0.71132261	621.2211489	565.74	795.34	55.48	38.84	0	2683.273032	0	2677.941143	0.712327186	0.715970274	1	5.331888787	2.54571143		0	873.3324938		625.2801049		1	795.3353261	0.665	0.335	1	4.5	Not applicable	0.7	0.4434		N/A		0.5566	0.079108128	0.160702078	0.212279473	n/a	n/a	n/a	1330.306252	0.495777447	2683.273032	0	5.331888787	0	2688.604921	n/a
H5883_001_5	2018	3	3856.57867	875.9319366	0.002472965	0.773019486	0.771107836	675.4379802	648.45	840.93	26.99	18.89	0	3856.57867	1.0727618	3845.851052	0.770546695	0.773019486	1	10.727618	1.659515316		0	875.9319366	875.9319366	677.1124556	875.9319366	1	840.9329663	0.665	0.335	1	4.5	Not applicable	0.7	0.4434		N/A		0.5566	0.081306449	0.166309186	0.212279473	n/a	n/a	n/a	2346.130056	0.60851419	3855.505908	0	7.509332597	1.0727618	3864.088002	"Warren-Troy-Farmington Hills, MI"
