bid_id	contract_year	version	msa_bnchmk_b0039	msa_bnchmk_c0039	msa_bnchmk_d0039	msa_bnchmk_e0039	msa_bnchmk_f0039	msa_bnchmk_g0039	msa_bnchmk_h0039
H4388_001_0	2018	3	52000	WI	Adams	464.6232457	0.711877901	786.27	559.7282372
H5613_002_0	2018	4	33800	NY	Westchester	72	0.43700233	933.14	407.7843545
H5613_002_0	2018	4	33760	NY	Washington	96	0.43700233	804.62	351.620815
H5613_002_0	2018	4	33750	NY	Warren	48	0.43700233	811.32	354.5487306
H5613_002_0	2018	4	33740	NY	Ulster	12	0.43700233	819.35	358.0578593
H5613_002_0	2018	4	33730	NY	Tompkins	60	0.43700233	733.56	320.5674294
H5613_002_0	2018	4	33720	NY	Tioga	12	0.43700233	846.04	369.7214515
H5613_002_0	2018	4	33710	NY	Sullivan	0	0.43700233	871.66	380.9174512
H5613_002_0	2018	4	33660	NY	Schoharie	36	0.43700233	848.82	370.936318
H5613_002_0	2018	4	33650	NY	Schenectady	121	0.43700233	791.4	345.8436442
H5613_002_0	2018	4	33640	NY	Saratoga	169	0.43700233	847.64	370.4206552
H5613_002_0	2018	4	33630	NY	St Lawrence	24	0.43700233	820.09	358.381241
H5613_002_0	2018	4	33620	NY	Rockland	108	0.43700233	953.21	416.5549912
H5613_002_0	2018	4	33600	NY	Rensselaer	205	0.43700233	852.44	372.5182664
H5613_002_0	2018	4	33580	NY	Putnam	12	0.43700233	919.8	401.9547434
H5613_002_0	2018	4	33570	NY	Otsego	48	0.43700233	815.61	356.4234706
H5613_002_0	2018	4	33560	NY	Oswego	12	0.43700233	900.09	393.3414274
H5613_002_0	2018	4	33540	NY	Orange	24	0.43700233	890.55	389.1724252
H5613_002_0	2018	4	33520	NY	Onondaga	133	0.43700233	895.5	391.3355868
H5613_002_0	2018	4	33510	NY	Oneida	48	0.43700233	821.77	359.1154049
H5613_002_0	2018	4	33380	NY	Montgomery	121	0.43700233	849.96	371.4345006
H5613_002_0	2018	4	33360	NY	Madison	24	0.43700233	848.23	370.6784866
H5613_002_0	2018	4	33340	NY	Lewis	0	0.43700233	802.75	350.8036206
H5613_002_0	2018	4	33330	NY	Jefferson	60	0.43700233	821.32	358.9187539
