bid_id	contract_year	version	summ_d0025	summ_d0027	summ_d0028	summ_d0029	summ_d0031	summ_d0032	summ_d0033	summ_d0034	summ_d0055	summ_e0014	summ_e0025	summ_e0027	summ_e0028	summ_e0029	summ_i0023	summ_i0025	summ_i0026	summ_i0027	summ_i0028	summ_i0029	summ_i0030	summ_j0023	summ_j0025	summ_j0026	summ_j0027	summ_j0028	summ_j0029	summ_j0030	summ_k0023	summ_k0025	summ_k0026	summ_k0027	summ_k0028	summ_k0029	summ_k0030	summ_l0013	summ_l0014	summ_l0023	summ_l0025	summ_l0026	summ_l0027	summ_l0028	summ_l0029	summ_l0030	summ_l0031	summ_m0025	summ_m0026	summ_m0027	summ_r0013	summ_r0014	summ_r0022	summ_r0024	summ_r0025	summ_r0027	summ_r0029	summ_r0030	summ_r0031	summ_r0035	summ_r0036	summ_r0041	summ_r0042
H6528_006_0	2018	3	700.4428293	100.6082149	-73.23604445	727.8149997	832.520145	854.6978623	1.031794816	1.026639256	08/03/2017 at 1:43 PM	109	51.82828786	7.444364199	-5.418998717	53.85365334	n/a	38.22618274	13.59858918	0	1.2	8.4	61.42477192	n/a	5.490623712	1.953235475	n/a	n/a	n/a	7.443859187	n/a	-3.996806451	-1.421824651	n/a	n/a	n/a	-5.418631102	0	0	63.45	39.72	14.13	0	1.2	8.4	63.45	0	39.72	14.13	109	39.72	14.13	53.85	-39.72	-14.13	0	0	0	0	1.2	1.2	8.4	8.4
H6550_001_0	2018	2	673.8400173	68.9977169	-38.98760753	703.8501266	901.4990982	885.2446526	0.981969538	0.981969538	08/03/2017 at 1:20 PM	109	49.30261033	5.048331151	-2.852592266	51.49834921	n/a	30.67390818	18.63028256	0	49.7	16.7	115.7041907	n/a	3.140848834	1.907644142	n/a	n/a	n/a	5.048492976	n/a	-1.774757009	-1.077926698	n/a	n/a	n/a	-2.852683707	0	0	117.9	32.04	19.46	0	49.7	16.7	117.9	0	32.04	19.46	109	32.04	19.46	51.5	-32.04	-19.46	0	0	0	0	49.7	49.7	16.7	16.7
H6622_001_0	2018	3	564.7481015	103.9298432	10.21853591	678.8964807	830.5193822	824.8557869	0.996669	0.993180659	08/04/2017 at 1:42 PM	109	50.90447407	9.36788277	0.92106409	61.19342093	n/a	37.94953888	12.93545221	0	18.9	14.8	84.58499109	n/a	6.98380325	2.380494093	n/a	n/a	n/a	9.364297343	n/a	0.686657865	0.2340537	n/a	n/a	n/a	0.920711566	0	0	94.87	45.62	15.55	0	18.9	14.8	94.87	0	45.62	15.57	109	45.62	15.55	61.19	-45.62	-15.55	0.02	0	0.02	0	18.9	18.9	14.8	14.8
H6622_002_0	2018	2	672.7511774	114.3596074	26.81908135	813.9298661	896.8514963	960.197856	1.073552	1.070631939	08/04/2017 at 1:43 PM	109	70.99545672	12.06837361	2.83021865	85.89404899	n/a	56.74244213	5.975933818	0	0	19.2	81.91837595	n/a	9.645532587	1.015836862	n/a	n/a	n/a	10.66136945	n/a	2.262025282	0.23822932	n/a	n/a	n/a	2.500254601	0	0	95.08	68.65	7.23	0	0	19.2	95.08	0	68.65	17.24	109	68.65	7.23	85.89	-68.65	-7.23	10.01	0	10.01	10	0	0	19.2	19.2
H6622_004_0	2018	2	631.5435791	115.0130829	56.96747981	803.5241419	895.3845312	1002.886093	1.122734	1.120061893	08/04/2017 at 5:27 PM	109	79.0713815	14.40002505	7.13252019	100.6039267	n/a	69.19654782	9.863887723	0	13.9	15.1	108.0604355	n/a	12.60167716	1.796354479	n/a	n/a	n/a	14.39803163	n/a	6.241775027	0.889757799	n/a	n/a	n/a	7.131532826	0	0	129.59	88.04	12.55	0	13.9	15.1	129.59	0	88.04	12.56	109	88.04	12.55	100.6	-88.04	-12.55	0.01	0	0.01	0	13.9	13.9	15.1	15.1
H6622_005_0	2018	2	720.3816278	118.6612917	53.16714686	892.2100663	890.2918853	1113.758052	1.25528	1.251003261	08/04/2017 at 5:28 PM	109	91.33841399	15.04526735	6.741153138	113.1248345	n/a	81.25800163	10.06843482	0	15.7	15.2	122.2264364	n/a	13.3848214	1.658473002	n/a	n/a	n/a	15.04329441	n/a	5.997176968	0.743092178	n/a	n/a	n/a	6.740269146	0	0	144.01	100.64	12.47	0	15.7	15.2	144.01	0	100.64	12.48	109	100.64	12.47	113.12	-100.64	-12.47	0.01	0	0.01	0	15.7	15.7	15.2	15.2
H6622_007_0	2018	2	549.4638925	105.8478469	31.57348916	686.8852286	833.2781427	784.2838759	0.944632	0.941202986	08/04/2017 at 2:31 PM	109	50.33749219	9.696934118	2.892510838	62.92693715	n/a	39.48481727	4.191662125	0	0	8.7	52.37647939	n/a	7.60629215	0.807475099	n/a	n/a	n/a	8.413767249	n/a	2.268890581	0.240862776	n/a	n/a	n/a	2.509753357	0	0	63.3	49.36	5.24	0	0	8.7	63.3	0	49.36	13.57	109	49.36	5.24	62.93	-49.36	-5.24	8.33	0	8.33	8.3	0	0	8.7	8.7
H6622_008_0	2018	3	*	117.4265581	*	1121.6047	827.6404823	1173.833182	1.419349	1.418288746	08/04/2017 at 2:33 PM	109	*	3.556612866	*	33.97113712	n/a	*	*	0	0	0	*	n/a	1.546347178	2.008052734	n/a	n/a	n/a	3.554399912	n/a	*	*	n/a	n/a	n/a	*	0	0	33.95	14.77	19.18	0	0	0	33.95	0	14.77	19.2	109	14.77	19.18	33.97	-14.77	-19.18	0.02	0	0.02	0	0	0	0	0
H6622_010_0	2018	2	*	112.0352236	*	705.2642307	882.8226336	837.9442735	0.957024	0.949164919	08/04/2017 at 5:29 PM	109	*	9.572767379	*	60.26078409	n/a	*	*	0	14.2	11.8	*	n/a	7.95390352	1.615562189	n/a	n/a	n/a	9.569465709	n/a	*	*	n/a	n/a	n/a	*	0	0	86.24	50.07	10.17	0	14.2	11.8	86.24	0	50.07	10.19	109	50.07	10.17	60.26	-50.07	-10.17	0.02	0	0.02	0	14.2	14.2	11.8	11.8
H6622_011_0	2018	3	722.2111267	128.2781286	41.38902023	891.8782755	885.2031231	964.6289132	1.091888	1.089726062	08/04/2017 at 1:45 PM	109	50.04959172	8.889738371	2.86827977	61.80760986	n/a	27.0380277	0	0	0	13.9	40.9380277	n/a	4.802456605	0	n/a	n/a	n/a	4.802456605	n/a	1.549515694	0	n/a	n/a	n/a	1.549515694	0	0	47.29	33.39	0	0	0	13.9	47.29	0	55.18	6.63	109	33.39	0	61.81	-33.39	0	28.42	0	28.42	28.4	0	0	13.9	13.9
