,ServiceAreaId,IssuerId,TEHBCombInnOonFamilyPerGroupMOOP,EHBPercentTotalPremium,TEHBInnTier1IndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,TEHBInnTier1FamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingaBabyCoinsurance,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,SBCHavingaBabyCopayment,TEHBInnTier1FamilyPerPersonMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonIndividualMOOP,act_value,SBCHavingDiabetesCopayment,SBCHavingDiabetesCoinsurance,SBCHavingDiabetesDeductible,SBCHavingaBabyDeductible
3878,INS019,17575,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85.0,0,0,0,0
3879,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3880,INS001,17575,0,1.0,5,0,10500,0,688,0,0,65,5250,0,0,68.3814525604248,50,0,424,4
3881,INS001,17575,0,1.0,4,0,10500,0,500,0,0,500,4200,0,0,72.11,50,0,424,3
3882,INS001,17575,0,1.0,1,0,3300,0,400,0,0,250,1650,0,0,86.6668999195099,50,0,424,1
3883,INS001,17575,0,1.0,650,0,1300,0,250,0,0,150,650,0,0,93.06,30,52,250,250
3884,INS001,17575,0,1.0,3,0,6900,0,1,0,0,500,3450,0,0,78.02,40,0,424,1
3885,INS001,17575,0,1.0,3,0,6900,0,1,0,0,500,3450,0,0,78.02,40,0,424,1
3886,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3887,INS001,17575,0,1.0,3,0,6900,0,1,0,0,500,3450,0,0,78.02,40,0,424,1
3888,INS001,17575,0,1.0,6,0,13700,0,0,0,0,0,6850,0,0,0.0,80,0,1,6
3889,INS001,17575,41100,0.0,6,13700,13700,27400,0,0,13,0,6850,20550,20,59.7,70,0,1,5
3890,INS001,17575,41100,0.0,6,13700,13700,27400,0,0,13,0,6850,20550,20,59.7,70,0,1,5
3891,INS001,17575,0,1.0,6,0,13700,0,0,0,0,0,6850,0,0,0.0,80,0,1,6
3892,INS001,17575,0,1.0,6,0,13700,0,361,0,0,500,6850,0,0,72.3753929138184,80,0,1,2
3893,INS001,17575,0,1.0,6,0,13700,0,361,0,0,500,6850,0,0,72.3753929138184,80,0,1,2
3894,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3895,INS001,17575,0,1.0,6,0,13700,0,361,0,0,500,6850,0,0,72.3753929138184,80,0,1,2
3896,INS001,17575,0,1.0,5,0,10000,0,366,0,0,500,5000,0,0,74.7634410858154,60,0,1,2
3897,INS001,17575,0,1.0,1,0,3200,0,561,0,0,250,1600,0,0,87.63,50,35,750,750
3898,INS001,17575,0,1.0,700,0,1400,0,350,0,0,150,700,0,0,93.78,20,93,200,200
3899,INS001,17575,0,1.0,6,30000,13700,60000,644,0,30,0,6850,0,0,61.1077845096588,100,0,1,5
3900,INS001,17575,0,1.0,6,30000,13700,60000,644,0,30,0,6850,0,0,61.1077845096588,100,0,1,5
3901,INS001,17575,0,1.0,0,0,0,0,0,0,0,0,0,0,0,100.0,0,0,0,0
3902,INS001,17575,0,1.0,6,30000,13700,60000,644,0,30,0,6850,0,0,61.1077845096588,100,0,1,5
