,Column_Name,Categories,Missing_Values,Unique_Values
219,HS_CoinsInnTier1Complex,0,0,1
220,HS_CoinsInnTier1,0,0,5
221,HS_CoinsInnTier1A,0,24957,14
222,HS_CoinsInnTier2Complex,0,0,1
223,HS_CoinsInnTier2,0,0,3
224,HS_CoinsInnTier2A,0,49954,8
225,HS_CopayOutofNetComplex,0,0,1
226,HS_CopayOutofNet,0,0,5
227,HS_CopayOutofNetA,0,49108,5
228,HS_CoinsOutofNetComplex,0,0,1
229,HS_CoinsOutofNet,0,0,5
230,HS_CoinsOutofNetA,0,1970,17
231,IM_LIMITED,0,0,2
232,IM_CopayInn_TIERS,0,0,2
233,IM_CopayInnTier1Complex,0,0,2
234,IM_CopayInnTier1,0,0,6
235,IM_CopayInnTier1A,0,27714,47
236,IM_CopayInnTier2Complex,0,0,1
237,IM_CopayInnTier2,0,0,5
238,IM_CopayInnTier2A,0,50185,20
239,IM_CoinsInn_TIERS,0,0,2
240,IM_CoinsInnTier1Complex,0,0,1
241,IM_CoinsInnTier1,0,0,5
242,IM_CoinsInnTier1A,0,23936,16
243,IM_CoinsInnTier2Complex,0,0,1
244,IM_CoinsInnTier2,0,0,3
245,IM_CoinsInnTier2A,0,49276,8
246,IM_CopayOutofNetComplex,0,0,1
247,IM_CopayOutofNet,0,0,5
248,IM_CopayOutofNetA,0,48414,11
249,IM_CoinsOutofNetComplex,0,0,1
250,IM_CoinsOutofNet,0,0,5
251,IM_CoinsOutofNetA,0,2366,18
252,IB_LIMITED,0,0,2
253,IB_CopayInn_TIERS,0,0,2
254,IB_CopayInnTier1Complex,0,0,2
255,IB_CopayInnTier1,0,0,6
256,IB_CopayInnTier1A,0,27657,31
257,IB_CopayInnTier2Complex,0,0,2
258,IB_CopayInnTier2,0,0,5
259,IB_CopayInnTier2A,0,49817,13
260,IB_CoinsInn_TIERS,0,0,2
261,IB_CoinsInnTier1Complex,0,0,2
262,IB_CoinsInnTier1,0,0,5
263,IB_CoinsInnTier1A,0,23717,15
264,IB_CoinsInnTier2Complex,0,0,1
265,IB_CoinsInnTier2,0,0,3
266,IB_CoinsInnTier2A,0,49129,10
267,IB_CopayOutofNetComplex,0,0,2
268,IB_CopayOutofNet,0,0,5
269,IB_CopayOutofNetA,0,48114,12
270,IB_CoinsOutofNetComplex,0,0,2
271,IB_CoinsOutofNet,0,0,5
272,IB_CoinsOutofNetA,0,2622,18
273,IP_LIMITED,0,0,2
274,IP_CopayInn_TIERS,0,0,2
275,IP_CopayInnTier1Complex,0,0,2
276,IP_CopayInnTier1,0,0,8
277,IP_CopayInnTier1A,0,27357,36
278,IP_CopayInnTier2Complex,0,0,2
279,IP_CopayInnTier2,0,0,7
280,IP_CopayInnTier2A,0,49782,14
281,IP_CoinsInn_TIERS,0,0,2
282,IP_CoinsInnTier1Complex,0,0,2
283,IP_CoinsInnTier1,0,0,5
284,IP_CoinsInnTier1A,0,24126,15
285,IP_CoinsInnTier2Complex,0,0,1
286,IP_CoinsInnTier2,0,0,3
287,IP_CoinsInnTier2A,0,49164,10
288,IP_CopayOutofNetComplex,0,0,2
289,IP_CopayOutofNet,0,0,7
290,IP_CopayOutofNetA,0,47803,10
291,IP_CoinsOutofNetComplex,0,0,1
292,IP_CoinsOutofNet,0,0,5
293,IP_CoinsOutofNetA,0,2952,18
294,IN_LIMITED,0,0,2
295,IN_CopayInn_TIERS,0,0,2
296,IN_CopayInnTier1Complex,0,0,2
297,IN_CopayInnTier1,0,0,6
