,ServiceAreaId,IssuerId,OutOfServiceAreaCoverageDescription,TEHBOutOfNetIndividualMOOP,TEHBCombInnOonFamilyPerPersonMOOP,TEHBInnTier1IndividualMOOP,SBCHavingaBabyDeductible,TEHBCombInnOonIndividualMOOP,TEHBOutOfNetFamilyPerPersonMOOP,act_value,TEHBInnTier1FamilyPerGroupMOOP,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBInnTier1FamilyPerPersonMOOP,SBCHavingDiabetesCoinsurance,SBCHavingaBabyCoinsurance,SBCHavingaBabyCopayment,TEHBCombInnOonFamilyPerGroupMOOP,TEHBOutOfNetFamilyPerGroupMOOP,SBCHavingDiabetesCopayment
4960,MOS003,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4961,MOS003,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4962,MOS003,30613,0,25,0,6,3,0,25200,68.6572968959808,12600,1.0,3,6300,90,270,20,0,50400,160
4963,MOS003,30613,0,25,0,4,3,0,25200,73.2124745845795,9500,1.0,3,4750,120,860,20,0,50400,220
4964,MOS003,30613,0,25,0,1,900,0,25200,88.0870759487152,3000,1.0,900,1500,180,600,0,0,50400,420
4965,MOS003,30613,0,25,0,750,500,0,25200,93.2019531726837,1500,1.0,500,750,50,250,0,0,50400,200
4966,MOS003,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4967,MOS003,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4968,MOS003,30613,0,0,0,0,0,0,0,100.0,0,1.0,0,0,0,0,0,0,0,0
4969,MOS003,30613,0,14,0,3,2,0,14000,78.42972278594969,7000,1.0,2,3500,160,580,20,0,28000,350
4970,MOS003,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
4971,MOS003,30613,0,6,0,1,500,0,6000,88.82697224617,3000,1.0,500,1500,280,1,20,0,12000,600
