IssuerId,ServiceAreaId,FirstTierUtilization,BeginPrimaryCareCostSharingAfterNumberOfVisits,BeginPrimaryCareDeductibleCoinsuranceAfterNumberOfCopays,CSRVariationTypeBinary,BusinessYear_2019,SourceName_HIOS,SourceName_OPM,SourceName_SERFF,MarketCoverage_Individual,MarketCoverage_SHOP (Small Group),DentalOnlyPlan_No,DentalOnlyPlan_Yes,IsNewPlan_Existing,IsNewPlan_New,PlanType_EPO,PlanType_HMO,PlanType_Indemnity,PlanType_POS,PlanType_PPO,MetalLevel_Bronze,MetalLevel_Catastrophic,MetalLevel_Expanded Bronze,MetalLevel_Gold,MetalLevel_High,MetalLevel_Low,MetalLevel_Platinum,MetalLevel_Silver,DesignType_Design 1,DesignType_Design 2,DesignType_Not Applicable,QHPNonQHPTypeId_Both,QHPNonQHPTypeId_Off the Exchange,QHPNonQHPTypeId_On the Exchange,CompositeRatingOffered_No,CompositeRatingOffered_Yes,ChildOnlyOffering_Allows Adult and Child-Only,ChildOnlyOffering_Allows Adult-Only,ChildOnlyOffering_Allows Child-Only,PlanEffectiveDate_1/1/2017,PlanEffectiveDate_1/1/2018,PlanEffectiveDate_1/1/2019,PlanEffectiveDate_1/2/2019,OutOfCountryCoverage_No,OutOfCountryCoverage_Yes,OutOfServiceAreaCoverage_No,OutOfServiceAreaCoverage_Yes,NationalNetwork_No,NationalNetwork_Yes,MultipleInNetworkTiers_No,MultipleInNetworkTiers_Yes,InpatientCopaymentMaximumDays_0,InpatientCopaymentMaximumDays_2,InpatientCopaymentMaximumDays_3,InpatientCopaymentMaximumDays_4,InpatientCopaymentMaximumDays_5,InpatientCopaymentMaximumDays_10,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
10091,ORS003,100.0,0.2857142857142857,0.0,3.5238095238095237,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.09523809523809523,0.0,0.19047619047619047,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10091,ORS005,100.0,0.2857142857142857,0.0,3.5238095238095237,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.8095238095238095,0.19047619047619047,0.0,0.0,0.0,0.0,1.0,0.38095238095238093,0.09523809523809523,0.0,0.19047619047619047,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,2.0,0.0,0.995184278770746,2.0,0.0,0.0,6.0,390.0,0.0,500.0,18000.0,9.0,6850.0,9000.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10900.0,0.0,0.0,1.0,106.0,0.995184278770746,1.0,0.0,0.0,5.0,420.0,0.0,500.0,18000.0,9.0,5450.0,9000.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,244.0,0.995184278770746,0.0,0.0,0.0,2.0,480.0,0.0,215.0,9000.0,4.0,2250.0,4500.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,0.0,0.0,244.0,0.995184278770746,0.0,0.0,0.0,2.0,80.0,0.0,100.0,9000.0,4.0,2250.0,4500.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8000.0,0.0,0.0,750.0,94.0,0.995176366039031,750.0,0.0,0.0,4.0,0.0,0.0,450.0,16000.0,8.0,4000.0,8000.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995176366039031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.995180603508448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10207,VAS001,100.0,0.0,0.0,3.9473684210526314,1.0,0.0,0.0,1.0,0.6842105263157895,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,0.8947368421052632,0.0,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0,0.3157894736842105,0.0,0.0,0.10526315789473684,0.47368421052631576,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6842105263157895,0.3157894736842105,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8947368421052632,0.10526315789473684,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13700.0,0.0,0.0,2.0,0.0,0.995180603508448,1.0,0.0,0.0,6.0,390.0,0.0,500.0,0.0,0.0,6850.0,0.0
