,ServiceAreaId,IssuerId,TEHBInnTier1FamilyPerGroupMOOP,OutOfServiceAreaCoverageDescription,SBCHavingaBabyCoinsurance,SBCHavingaBabyDeductible,SBCHavingDiabetesCoinsurance,EHBPercentTotalPremium,SBCHavingDiabetesDeductible,TEHBCombInnOonFamilyPerPersonMOOP,TEHBCombInnOonFamilyPerGroupMOOP,TEHBInnTier1IndividualMOOP,SBCHavingDiabetesCopayment,TEHBCombInnOonIndividualMOOP,SBCHavingaBabyCopayment,TEHBOutOfNetFamilyPerGroupMOOP,TEHBOutOfNetIndividualMOOP,TEHBInnTier1FamilyPerPersonMOOP,TEHBOutOfNetFamilyPerPersonMOOP
20368,MIS001,29241,13700,0,600,3,160,1.0,3,0,0,6,430,0,20,27400,13,6850,27400
20369,MIS001,29241,13700,0,600,3,160,1.0,3,0,0,6,430,0,20,27400,13,6850,27400
20370,MIS001,29698,10800,0,1,1,530,1.0,1,0,0,5,280,0,10,0,0,5400,0
20371,MIS001,29698,3200,0,1,50,650,1.0,50,0,0,1,400,0,10,0,0,1600,0
20372,MIS001,29698,1000,0,480,25,280,1.0,25,0,0,500,190,0,0,0,0,500,0
20373,MIS001,29698,13100,0,0,5,0,1.0,5,0,0,6,0,0,0,0,0,6550,0
20374,MIS001,29698,13100,0,0,5,0,1.0,5,0,0,6,0,0,0,0,0,6550,0
20375,MIS001,29698,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20376,MIS001,29241,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20377,MIS001,29241,13700,0,600,3,160,1.0,3,0,0,6,430,0,20,27400,13,6850,27400
20378,MIS001,29698,13200,0,980,1,460,1.0,1,0,0,6,250,0,10,0,0,6600,0
20379,MIS001,29698,13200,0,980,1,460,1.0,1,0,0,6,250,0,10,0,0,6600,0
20380,MIS001,29698,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0
20381,MIS001,29698,13200,0,980,1,460,1.0,1,0,0,6,250,0,10,0,0,6600,0
20382,MIS001,29698,10400,0,1,1,530,1.0,1,0,0,5,280,0,10,0,0,5200,0
20383,MIS001,29698,3400,0,1,200,580,1.0,200,0,0,1,400,0,10,0,0,1700,0
20384,MIS001,29698,1000,0,400,100,220,1.0,100,0,0,500,190,0,0,0,0,500,0
